問,ページ,分野,テーマ,正答,確度,出典分類,参照URL,備考
1,2,基礎理論,2進数シフト演算,ウ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
2,2,基礎理論,標準偏差,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
3,2,基礎理論,正規表現,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
4,3,システム性能,M/M/1待ち行列,イ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
5,3,アルゴリズム,完全二分木,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
6,3,データ構造,スタック,ア,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
7,4,ソフトウェア,API,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
8,4,ハードウェア,平均CPIとMIPS,イ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
9,4,ハードウェア,キャッシュメモリ,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
10,5,ハードウェア,画面メモリ量,ウ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
11,5,システム構成,フォールトトレラント,ア,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
12,5,システム構成,稼働率,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
13,6,システム構成,ページング,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
14,6,プログラム言語,インタプリタとコンパイラ,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
15,6,ソフトウェア,OSS,イ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
16,7,基礎理論,偶数パリティ,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
17,7,マルチメディア,テクスチャマッピング,ア,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
18,7,データベース,データウェアハウス,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
19,8,データベース,第3正規形,ウ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
20,8,データベース,NOT EXISTS,ア,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
21,8,データベース,JDBC,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
22,9,データベース,共有ロックと排他ロック,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
23,9,ネットワーク,実効伝送速度,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
24,9,ネットワーク,TCP/IP階層,ア,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
25,10,ネットワーク,サブネットマスク,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
26,10,ネットワーク,CGI,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
27,10,情報セキュリティ,サイバーキルチェーン,エ,高,情報セキュリティマネジメント試験 公開問題,https://www.sg-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
28,11,情報セキュリティ,エンベロープ暗号化,エ,高,情報セキュリティマネジメント試験 公開問題,https://www.sg-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
29,11,情報セキュリティ,リスクベース認証,イ,高,情報セキュリティマネジメント試験 公開問題,https://www.sg-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
30,11,情報セキュリティ,セキュリティガバナンス,イ,高,情報セキュリティマネジメント試験 公開問題,https://www.sg-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
31,12,情報セキュリティ,NTP,ウ,高,情報セキュリティマネジメント試験 公開問題,https://www.sg-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
32,12,情報セキュリティ,ステガノグラフィ,エ,高,情報セキュリティマネジメント試験 公開問題,https://www.sg-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
33,12,情報セキュリティ,WPA2-PSK,エ,高,情報セキュリティマネジメント試験 公開問題,https://www.sg-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
34,13,開発技術,アクティビティ図,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
35,13,開発技術,インスタンス,ア,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
36,13,開発技術,デザインレビュー,ウ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
37,14,開発技術,静的解析ツール,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
38,14,マネジメント,期待値,エ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
39,14,マネジメント,スクラムマスタ,イ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
40,15,開発技術,リファクタリング,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
41,15,マネジメント,品質評価グラフ,エ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
42,15,マネジメント,EVM,ウ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
43,16,システム運用,コールドスタート,ウ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
44,16,システム運用,SPD,ウ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
45,16,情報セキュリティ,情報セキュリティ監査,ア,高,情報セキュリティマネジメント試験 公開問題,https://www.sg-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
46,17,ストラテジ,To-Beモデル,ウ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
47,17,ストラテジ,スマートグリッド,イ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
48,17,システム企画,要件定義,イ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
49,18,ストラテジ,M&A,ウ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
50,18,ストラテジ,プロダクトライフサイクル,エ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
51,18,ストラテジ,BSC,ウ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
52,19,ストラテジ,技術のSカーブ,エ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
53,19,ストラテジ,HEMS,エ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
54,19,開発技術,コンカレントエンジニアリング,ウ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
55,20,ストラテジ,クラウドソーシング,エ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
56,20,ストラテジ,マトリックス組織,イ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
57,20,ストラテジ,定量発注方式,ア,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
58,21,品質管理,パレート図,ウ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
59,21,会計,期待利益,イ,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
60,21,法務,労働者派遣契約,ア,高,応用情報技術者試験 科目A 公開問題,https://www.ap-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
